model,context_variant,mean_output_token_per_file,mean_input_token_per_file,mean_total_token_per_file
GPT4o,class,413.139896373057,3907.9953367875646,4321.135233160622
GPT4o,method,377.9426597582038,1247.578756476684,1625.5214162348877
GPT4o,minimal,224.51295336787564,894.2827288428325,1118.795682210708
GPT_OSS_120b,class,639.6423143350604,3907.9953367875646,4547.637651122625
GPT_OSS_120b,method,603.901554404145,1247.578756476684,1851.480310880829
GPT_OSS_120b,minimal,383.7616580310881,894.2827288428325,1278.0443868739205
Qwen3_480b_cloud,class,489.305872193437,3886.3284974093262,4375.634369602763
Qwen3_480b_cloud,method,571.5937823834197,1263.9680483592401,1835.5618307426598
Qwen3_480b_cloud,minimal,378.03333333333336,909.3214162348877,1287.354749568221
