model,context_variant,output_token_mean,input_token_mean,total_token_mean,output_token_median,input_token_median,total_token_median
GPT4o,class,26877.303370786518,254239.24719101124,281116.55056179775,2972.0,23370.0,27583.0
GPT4o,method,24587.505617977527,81162.70786516854,105750.21348314607,3802.0,10777.0,15352.0
GPT4o,minimal,14605.955056179775,58178.61797752809,72784.57303370787,2086.0,10012.0,11942.0
GPT_OSS_120b,class,41612.68539325843,254239.24719101124,295851.93258426967,5818.0,23370.0,29732.0
GPT_OSS_120b,method,39287.52808988764,81162.70786516854,120450.23595505618,5925.0,10777.0,17068.0
GPT_OSS_120b,minimal,24966.067415730337,58178.61797752809,83144.68539325842,3780.0,10012.0,11883.0
Qwen3_480b_cloud,class,31832.370786516854,252829.68539325843,284662.0561797753,5065.0,23459.0,30641.0
Qwen3_480b_cloud,method,37185.70786516854,82228.93258426966,119414.6404494382,5956.0,10911.0,18113.0
Qwen3_480b_cloud,minimal,24593.404494382023,59156.97752808989,83750.38202247191,3148.0,10136.0,12937.0
