model,context_variant,bump_id,output_token,input_token,total_token
Qwen3_480b_cloud,method,BBC107,1768,3934,5702
Qwen3_480b_cloud,method,BBC111,2953,6539,9492
Qwen3_480b_cloud,method,BBC115,15713,24078,39791
Qwen3_480b_cloud,method,BBC118,2846,7107,9953
Qwen3_480b_cloud,method,BBC119,2897,6579,9476
Qwen3_480b_cloud,method,BBC121,477,1069,1546
Qwen3_480b_cloud,method,BBC123,8907,12179,21086
Qwen3_480b_cloud,method,BBC124,2094,6425,8519
Qwen3_480b_cloud,method,BBC131,26629,42054,68683
Qwen3_480b_cloud,method,BBC132,175654,350617,526271
Qwen3_480b_cloud,method,BBC135,5956,12300,18256
Qwen3_480b_cloud,method,BBC136,29318,42054,71372
Qwen3_480b_cloud,method,BBC137,3717,7417,11134
Qwen3_480b_cloud,method,BBC143,4359,5894,10253
Qwen3_480b_cloud,method,BBC144,17245,31029,48274
Qwen3_480b_cloud,method,BBC145,2341,4927,7268
Qwen3_480b_cloud,method,BBC146,112477,278268,390745
Qwen3_480b_cloud,method,BBC147,26240,75833,102073
Qwen3_480b_cloud,method,BBC148,3007,10911,13918
Qwen3_480b_cloud,method,BBC150,36771,61106,97877
Qwen3_480b_cloud,method,BBC153,2632,7107,9739
Qwen3_480b_cloud,method,BBC155,2611,7107,9718
Qwen3_480b_cloud,method,BBC158,9836,14446,24282
Qwen3_480b_cloud,method,BBC16,1996,4977,6973
Qwen3_480b_cloud,method,BBC162,25604,42054,67658
Qwen3_480b_cloud,method,BBC165,173224,350617,523841
Qwen3_480b_cloud,method,BBC167,26370,42054,68424
Qwen3_480b_cloud,method,BBC168,142028,127536,269564
Qwen3_480b_cloud,method,BBC17,165367,345355,510722
Qwen3_480b_cloud,method,BBC170,1887,3934,5821
Qwen3_480b_cloud,method,BBC178,6650,12300,18950
Qwen3_480b_cloud,method,BBC179,2541,6539,9080
Qwen3_480b_cloud,method,BBC182,3036,6579,9615
Qwen3_480b_cloud,method,BBC184,477,1069,1546
Qwen3_480b_cloud,method,BBC186,2129,3934,6063
Qwen3_480b_cloud,method,BBC187,7502,12300,19802
Qwen3_480b_cloud,method,BBC22,106432,170511,276943
Qwen3_480b_cloud,method,BBC24,2286,7094,9380
Qwen3_480b_cloud,method,BBC26,6891,12276,19167
Qwen3_480b_cloud,method,BBC27,108760,277660,386420
Qwen3_480b_cloud,method,BBC31,2817,6439,9256
Qwen3_480b_cloud,method,BBC33,25188,75669,100857
Qwen3_480b_cloud,method,BBC35,1951,3926,5877
Qwen3_480b_cloud,method,BBC36,178952,345355,524307
Qwen3_480b_cloud,method,BBC41,3749,10887,14636
Qwen3_480b_cloud,method,BBC42,10353,15187,25540
Qwen3_480b_cloud,method,BBC44,1771,7094,8865
Qwen3_480b_cloud,method,BBC45,25086,41976,67062
Qwen3_480b_cloud,method,BBC48,6252,10619,16871
Qwen3_480b_cloud,method,BBC49,197547,350141,547688
Qwen3_480b_cloud,method,BBC50,3034,2717,5751
Qwen3_480b_cloud,method,BBC51,581,1067,1648
Qwen3_480b_cloud,method,BBC52,2629,6162,8791
Qwen3_480b_cloud,method,BBC53,2045,3926,5971
Qwen3_480b_cloud,method,BBC54,25421,75669,101090
Qwen3_480b_cloud,method,BBC55,382,1035,1417
Qwen3_480b_cloud,method,BBC56,27565,76325,103890
Qwen3_480b_cloud,method,BBC59,10551,11019,21570
Qwen3_480b_cloud,method,BBC60,3151,4819,7970
Qwen3_480b_cloud,method,BBC63,25318,41976,67294
Qwen3_480b_cloud,method,BBC64,159978,306115,466093
Qwen3_480b_cloud,method,BBC66,5837,12276,18113
Qwen3_480b_cloud,method,BBC70,2245,4977,7222
Qwen3_480b_cloud,method,BBC72,240332,956608,1196940
Qwen3_480b_cloud,method,BBC73,232945,956608,1189553
Qwen3_480b_cloud,method,BBC74,21663,31319,52982
Qwen3_480b_cloud,method,BBC78,1921,4977,6898
Qwen3_480b_cloud,method,BBC79,30937,76325,107262
Qwen3_480b_cloud,method,BBC80,401,1067,1468
Qwen3_480b_cloud,method,BBC81,1820,3926,5746
Qwen3_480b_cloud,method,BBC82,3415,6529,9944
Qwen3_480b_cloud,method,BBC83,30460,76325,106785
Qwen3_480b_cloud,method,BBC88,6063,12276,18339
Qwen3_480b_cloud,method,BBC94,1016,1118,2134
Qwen3_480b_cloud,method,BBC97,3104,10887,13991
Qwen3_480b_cloud,method,BBC98,6617,12276,18893
Qwen3_480b_cloud,method,BBC99,2327,7094,9421
Qwen3_480b_cloud,minimal,BBC01,407,906,1313
Qwen3_480b_cloud,minimal,BBC02,988,2033,3021
Qwen3_480b_cloud,minimal,BBC03,1999,2033,4032
Qwen3_480b_cloud,minimal,BBC04,17102,43403,60505
Qwen3_480b_cloud,minimal,BBC05,1162,3454,4616
Qwen3_480b_cloud,minimal,BBC06,99391,227887,327278
Qwen3_480b_cloud,minimal,BBC07,4495,8761,13256
Qwen3_480b_cloud,minimal,BBC10,85624,144640,230264
Qwen3_480b_cloud,minimal,BBC101,337260,590877,928137
Qwen3_480b_cloud,minimal,BBC103,17207,34767,51974
Qwen3_480b_cloud,minimal,BBC104,993,3462,4455
Qwen3_480b_cloud,minimal,BBC106,2641,4382,7023
Qwen3_480b_cloud,minimal,BBC107,1255,3462,4717
Qwen3_480b_cloud,minimal,BBC111,2542,4407,6949
Qwen3_480b_cloud,minimal,BBC115,8761,18202,26963
Qwen3_480b_cloud,minimal,BBC118,3033,6328,9361
Qwen3_480b_cloud,minimal,BBC119,2145,4447,6592
Qwen3_480b_cloud,minimal,BBC121,492,940,1432
Qwen3_480b_cloud,minimal,BBC123,5209,7742,12951
Qwen3_480b_cloud,minimal,BBC124,1943,4401,6344
Qwen3_480b_cloud,minimal,BBC131,15974,34767,50741
Qwen3_480b_cloud,minimal,BBC132,84615,228363,312978
Qwen3_480b_cloud,minimal,BBC135,3331,10455,13786
Qwen3_480b_cloud,minimal,BBC136,16024,34767,50791
Qwen3_480b_cloud,minimal,BBC137,3167,6510,9677
Qwen3_480b_cloud,minimal,BBC143,4364,3601,7965
Qwen3_480b_cloud,minimal,BBC144,12694,25118,37812
Qwen3_480b_cloud,minimal,BBC145,2707,4314,7021
Qwen3_480b_cloud,minimal,BBC146,93600,259658,353258
Qwen3_480b_cloud,minimal,BBC147,24795,71286,96081
Qwen3_480b_cloud,minimal,BBC148,1501,10160,11661
Qwen3_480b_cloud,minimal,BBC150,22446,48071,70517
Qwen3_480b_cloud,minimal,BBC153,2859,6328,9187
Qwen3_480b_cloud,minimal,BBC155,3390,6328,9718
Qwen3_480b_cloud,minimal,BBC158,9595,11015,20610
Qwen3_480b_cloud,minimal,BBC16,1954,4364,6318
Qwen3_480b_cloud,minimal,BBC162,15237,34767,50004
Qwen3_480b_cloud,minimal,BBC165,89887,228363,318250
Qwen3_480b_cloud,minimal,BBC167,19456,34767,54223
Qwen3_480b_cloud,minimal,BBC168,56179,106714,162893
Qwen3_480b_cloud,minimal,BBC17,91590,224285,315875
Qwen3_480b_cloud,minimal,BBC170,1003,3462,4465
Qwen3_480b_cloud,minimal,BBC178,2872,10455,13327
Qwen3_480b_cloud,minimal,BBC179,1819,4407,6226
Qwen3_480b_cloud,minimal,BBC182,2265,4447,6712
Qwen3_480b_cloud,minimal,BBC184,421,940,1361
Qwen3_480b_cloud,minimal,BBC186,1193,3462,4655
Qwen3_480b_cloud,minimal,BBC187,2766,10455,13221
Qwen3_480b_cloud,minimal,BBC22,84023,144640,228663
Qwen3_480b_cloud,minimal,BBC24,1228,5950,7178
Qwen3_480b_cloud,minimal,BBC26,2506,10431,12937
Qwen3_480b_cloud,minimal,BBC27,94030,259050,353080
Qwen3_480b_cloud,minimal,BBC31,2572,4442,7014
Qwen3_480b_cloud,minimal,BBC33,25520,71122,96642
Qwen3_480b_cloud,minimal,BBC35,1505,3454,4959
Qwen3_480b_cloud,minimal,BBC36,96320,224285,320605
Qwen3_480b_cloud,minimal,BBC41,1492,10136,11628
Qwen3_480b_cloud,minimal,BBC42,7423,11847,19270
Qwen3_480b_cloud,minimal,BBC44,1200,5950,7150
Qwen3_480b_cloud,minimal,BBC45,15013,34689,49702
Qwen3_480b_cloud,minimal,BBC48,4424,8905,13329
Qwen3_480b_cloud,minimal,BBC49,94334,227887,322221
Qwen3_480b_cloud,minimal,BBC50,664,2033,2697
Qwen3_480b_cloud,minimal,BBC51,345,938,1283
Qwen3_480b_cloud,minimal,BBC52,2189,4247,6436
Qwen3_480b_cloud,minimal,BBC53,907,3454,4361
Qwen3_480b_cloud,minimal,BBC54,25730,71122,96852
Qwen3_480b_cloud,minimal,BBC55,604,906,1510
Qwen3_480b_cloud,minimal,BBC56,26954,71778,98732
Qwen3_480b_cloud,minimal,BBC59,7865,7332,15197
Qwen3_480b_cloud,minimal,BBC60,3148,4302,7450
Qwen3_480b_cloud,minimal,BBC63,16247,34689,50936
Qwen3_480b_cloud,minimal,BBC64,128898,269017,397915
Qwen3_480b_cloud,minimal,BBC66,3471,10431,13902
Qwen3_480b_cloud,minimal,BBC70,2128,4364,6492
Qwen3_480b_cloud,minimal,BBC72,137832,494718,632550
Qwen3_480b_cloud,minimal,BBC73,137852,494718,632570
Qwen3_480b_cloud,minimal,BBC74,13960,25408,39368
Qwen3_480b_cloud,minimal,BBC78,2302,4364,6666
Qwen3_480b_cloud,minimal,BBC79,26331,71778,98109
Qwen3_480b_cloud,minimal,BBC80,439,938,1377
Qwen3_480b_cloud,minimal,BBC81,1145,3454,4599
Qwen3_480b_cloud,minimal,BBC82,2168,4397,6565
Qwen3_480b_cloud,minimal,BBC83,24402,71778,96180
Qwen3_480b_cloud,minimal,BBC88,2384,10431,12815
Qwen3_480b_cloud,minimal,BBC94,1224,906,2130
Qwen3_480b_cloud,minimal,BBC97,1507,10136,11643
Qwen3_480b_cloud,minimal,BBC98,3112,10431,13543
Qwen3_480b_cloud,minimal,BBC99,1062,5950,7012
